instance      b1  b2  rep value     t       it        
bqp50-1       2   18  1   -2098     0.74    9814      
bqp50-1       2   18  2   -2098     0.73    10260     
bqp50-1       2   18  3   -1994     0.92    13013     
bqp50-1       2   18  4   -2098     0.80    10759     
bqp50-1       2   18  5   -2030     0.75    10628     
bqp50-1       2   18  6   -2098     0.75    11029     
bqp50-1       2   18  7   -2098     0.72    10555     
bqp50-1       2   18  8   -2098     0.83    11783     
bqp50-1       2   18  9   -2098     0.76    10878     
bqp50-1       2   18  10  -2098     0.99    12276     
bqp50-1       2   18  11  -2098     0.74    10982     
bqp50-1       2   18  12  -2030     0.68    9886      
bqp50-1       2   18  13  -2030     0.81    12157     
bqp50-1       2   18  14  -2098     0.67    9857      
bqp50-1       2   18  15  -2034     0.69    10180     
bqp50-1       2   18  16  -2030     0.70    10196     
bqp50-1       2   18  17  -2098     0.69    9925      
bqp50-1       2   18  18  -2030     1.03    15395     
bqp50-1       2   18  19  -2030     0.72    10455     
bqp50-1       2   18  20  -2030     0.71    10540     
bqp50-1       2   18  21  -2098     0.74    11064     
bqp50-1       2   18  22  -2098     0.74    11330     
bqp50-1       2   18  23  -2030     0.70    10496     
bqp50-1       2   18  24  -2030     0.69    10302     
bqp50-1       2   18  25  -2098     0.72    10710     
bqp50-1       2   18  26  -2030     1.02    13272     
bqp50-1       2   18  27  -2098     0.74    10528     
bqp50-1       2   18  28  -2098     1.01    11233     
bqp50-1       2   18  29  -2030     0.72    9310      
bqp50-1       2   18  30  -2034     0.71    9957      
bqp50-1       4   16  1   -2098     1.32    19233     
bqp50-1       4   16  2   -2098     1.37    21266     
bqp50-1       4   16  3   -2098     1.47    22710     
bqp50-1       4   16  4   -2098     1.55    23968     
bqp50-1       4   16  5   -2098     1.24    18467     
bqp50-1       4   16  6   -2098     1.27    19277     
bqp50-1       4   16  7   -2098     1.32    20142     
bqp50-1       4   16  8   -2098     1.60    24800     
bqp50-1       4   16  9   -2098     1.26    19362     
bqp50-1       4   16  10  -2098     1.41    19496     
bqp50-1       4   16  11  -2098     1.27    18553     
bqp50-1       4   16  12  -2098     1.25    17802     
bqp50-1       4   16  13  -2098     1.47    19870     
bqp50-1       4   16  14  -2098     1.95    26617     
bqp50-1       4   16  15  -2098     1.39    20076     
bqp50-1       4   16  16  -2098     1.48    21457     
bqp50-1       4   16  17  -2098     1.51    22599     
bqp50-1       4   16  18  -2098     1.36    20385     
bqp50-1       4   16  19  -2098     1.51    20254     
bqp50-1       4   16  20  -2034     1.31    18678     
bqp50-1       4   16  21  -2098     2.30    26706     
bqp50-1       4   16  22  -2030     1.28    18173     
bqp50-1       4   16  23  -2098     1.27    18805     
bqp50-1       4   16  24  -2098     1.32    19829     
bqp50-1       4   16  25  -2098     1.86    25309     
bqp50-1       4   16  26  -2098     1.47    21286     
bqp50-1       4   16  27  -2098     1.60    23520     
bqp50-1       4   16  28  -2098     1.25    17909     
bqp50-1       4   16  29  -2098     1.63    24699     
bqp50-1       4   16  30  -2098     1.65    24355     
bqp50-1       6   14  1   -2098     1.84    27107     
bqp50-1       6   14  2   -2098     1.88    27167     
bqp50-1       6   14  3   -2098     1.87    28188     
bqp50-1       6   14  4   -2098     2.23    33390     
bqp50-1       6   14  5   -2098     1.76    26674     
bqp50-1       6   14  6   -2098     1.77    26127     
bqp50-1       6   14  7   -2098     2.71    31276     
bqp50-1       6   14  8   -2098     1.43    19550     
bqp50-1       6   14  9   -2098     2.66    37007     
bqp50-1       6   14  10  -2098     2.26    32649     
bqp50-1       6   14  11  -2098     1.48    20312     
bqp50-1       6   14  12  -2098     2.01    28927     
bqp50-1       6   14  13  -2098     2.24    34253     
bqp50-1       6   14  14  -2098     2.25    31801     
bqp50-1       6   14  15  -2098     1.91    27304     
bqp50-1       6   14  16  -2098     1.81    25989     
bqp50-1       6   14  17  -2098     2.27    33990     
bqp50-1       6   14  18  -2098     1.92    27208     
bqp50-1       6   14  19  -2098     1.86    26343     
bqp50-1       6   14  20  -2098     1.92    28173     
bqp50-1       6   14  21  -2098     1.87    27126     
bqp50-1       6   14  22  -2098     1.57    23183     
bqp50-1       6   14  23  -2098     2.46    34697     
bqp50-1       6   14  24  -2098     2.24    32677     
bqp50-1       6   14  25  -2098     1.80    26693     
bqp50-1       6   14  26  -2098     1.85    26437     
bqp50-1       6   14  27  -2098     2.41    35180     
bqp50-1       6   14  28  -2098     2.03    27289     
bqp50-1       6   14  29  -2098     2.08    27726     
bqp50-1       6   14  30  -2098     2.26    30239     
bqp50-1       8   12  1   -2098     2.21    30530     
bqp50-1       8   12  2   -2098     2.30    33792     
bqp50-1       8   12  3   -2098     2.35    34052     
bqp50-1       8   12  4   -2098     2.42    33881     
bqp50-1       8   12  5   -2030     2.92    41371     
bqp50-1       8   12  6   -2098     2.66    36760     
bqp50-1       8   12  7   -2098     2.14    29318     
bqp50-1       8   12  8   -2098     2.14    30012     
bqp50-1       8   12  9   -2098     2.12    30037     
bqp50-1       8   12  10  -2098     2.25    30829     
bqp50-1       8   12  11  -2030     2.85    39186     
bqp50-1       8   12  12  -2098     2.17    32252     
bqp50-1       8   12  13  -2030     2.69    32562     
bqp50-1       8   12  14  -2098     2.83    39810     
bqp50-1       8   12  15  -2098     2.23    31520     
bqp50-1       8   12  16  -2098     2.83    39002     
bqp50-1       8   12  17  -2098     2.19    30323     
bqp50-1       8   12  18  -2098     2.48    36382     
bqp50-1       8   12  19  -2098     2.31    33443     
bqp50-1       8   12  20  -2098     2.37    33477     
bqp50-1       8   12  21  -2098     2.29    33676     
bqp50-1       8   12  22  -2098     2.26    32982     
bqp50-1       8   12  23  -2098     1.97    27939     
bqp50-1       8   12  24  -2098     2.33    32032     
bqp50-1       8   12  25  -2098     2.03    29555     
bqp50-1       8   12  26  -2098     2.27    32282     
bqp50-1       8   12  27  -2098     2.31    32417     
bqp50-1       8   12  28  -2098     2.44    33477     
bqp50-1       8   12  29  -2098     2.25    32692     
bqp50-1       8   12  30  -2098     2.37    34685     
bqp50-1       10  10  1   -2098     2.47    35479     
bqp50-1       10  10  2   -2098     2.27    33160     
bqp50-1       10  10  3   -2098     2.53    36554     
bqp50-1       10  10  4   -2098     2.71    37844     
bqp50-1       10  10  5   -2098     1.80    27213     
bqp50-1       10  10  6   -2098     2.93    41737     
bqp50-1       10  10  7   -2098     2.38    34070     
bqp50-1       10  10  8   -2098     3.16    41987     
bqp50-1       10  10  9   -2098     2.61    35744     
bqp50-1       10  10  10  -2098     2.44    33684     
bqp50-1       10  10  11  -2098     2.09    29906     
bqp50-1       10  10  12  -2098     2.33    32589     
bqp50-1       10  10  13  -2098     2.41    33307     
bqp50-1       10  10  14  -2098     2.55    35928     
bqp50-1       10  10  15  -2098     2.38    34277     
bqp50-1       10  10  16  -2098     2.27    30069     
bqp50-1       10  10  17  -2098     2.19    30056     
bqp50-1       10  10  18  -2098     2.37    34259     
bqp50-1       10  10  19  -2098     2.26    31237     
bqp50-1       10  10  20  -2098     2.50    34461     
bqp50-1       10  10  21  -2098     2.52    36749     
bqp50-1       10  10  22  -2098     2.19    31241     
bqp50-1       10  10  23  -2098     2.04    28717     
bqp50-1       10  10  24  -2098     3.14    41385     
bqp50-1       10  10  25  -2098     2.64    37139     
bqp50-1       10  10  26  -2098     2.02    28842     
bqp50-1       10  10  27  -2098     2.56    36917     
bqp50-1       10  10  28  -2098     2.56    34258     
bqp50-1       10  10  29  -2098     2.28    29444     
bqp50-1       10  10  30  -2098     2.70    36214     
bqp50-1       12  8   1   -2098     2.34    32490     
bqp50-1       12  8   2   -2098     2.02    27315     
bqp50-1       12  8   3   -2030     2.37    33155     
bqp50-1       12  8   4   -2098     2.45    34365     
bqp50-1       12  8   5   -2098     2.89    39853     
bqp50-1       12  8   6   -2098     2.25    32755     
bqp50-1       12  8   7   -2098     2.15    30199     
bqp50-1       12  8   8   -2098     2.30    31940     
bqp50-1       12  8   9   -2098     2.01    28675     
bqp50-1       12  8   10  -2098     2.25    33420     
bqp50-1       12  8   11  -2098     2.42    33280     
bqp50-1       12  8   12  -2098     2.38    34947     
bqp50-1       12  8   13  -2098     2.78    37954     
bqp50-1       12  8   14  -2098     2.30    32803     
bqp50-1       12  8   15  -2098     1.63    23824     
bqp50-1       12  8   16  -2098     1.96    25349     
bqp50-1       12  8   17  -2098     2.40    33500     
bqp50-1       12  8   18  -2098     2.21    30170     
bqp50-1       12  8   19  -2098     2.99    38745     
bqp50-1       12  8   20  -2098     2.36    33783     
bqp50-1       12  8   21  -2098     2.39    35710     
bqp50-1       12  8   22  -2098     2.22    32595     
bqp50-1       12  8   23  -2098     2.46    35968     
bqp50-1       12  8   24  -2098     2.33    33998     
bqp50-1       12  8   25  -2098     2.28    33902     
bqp50-1       12  8   26  -2098     2.28    30140     
bqp50-1       12  8   27  -2098     2.37    33025     
bqp50-1       12  8   28  -2098     2.90    39293     
bqp50-1       12  8   29  -2098     2.01    27564     
bqp50-1       12  8   30  -2098     2.25    31408     
bqp50-1       14  6   1   -2098     1.94    26938     
bqp50-1       14  6   2   -2098     1.97    27885     
bqp50-1       14  6   3   -2098     1.77    23128     
bqp50-1       14  6   4   -2098     2.04    27494     
bqp50-1       14  6   5   -2098     1.68    22529     
bqp50-1       14  6   6   -2098     2.38    34125     
bqp50-1       14  6   7   -2098     2.06    28088     
bqp50-1       14  6   8   -2098     1.76    26665     
bqp50-1       14  6   9   -2098     2.48    24848     
bqp50-1       14  6   10  -2098     2.35    30614     
bqp50-1       14  6   11  -2098     2.12    27685     
bqp50-1       14  6   12  -2098     2.52    30910     
bqp50-1       14  6   13  -2098     1.91    26455     
bqp50-1       14  6   14  -2098     2.01    27851     
bqp50-1       14  6   15  -2098     1.90    28826     
bqp50-1       14  6   16  -2098     1.36    19720     
bqp50-1       14  6   17  -2098     2.13    28981     
bqp50-1       14  6   18  -2098     1.97    26887     
bqp50-1       14  6   19  -2098     2.09    26549     
bqp50-1       14  6   20  -2098     1.85    26232     
bqp50-1       14  6   21  -2098     2.02    28061     
bqp50-1       14  6   22  -2098     2.18    28463     
bqp50-1       14  6   23  -2098     1.83    25975     
bqp50-1       14  6   24  -2098     2.01    29274     
bqp50-1       14  6   25  -2098     2.37    33920     
bqp50-1       14  6   26  -2098     2.00    27056     
bqp50-1       14  6   27  -2098     1.94    27114     
bqp50-1       14  6   28  -2098     2.03    30299     
bqp50-1       14  6   29  -2098     2.47    35843     
bqp50-1       14  6   30  -2098     1.95    26955     
bqp50-1       16  4   1   -2098     1.60    19945     
bqp50-1       16  4   2   -2098     1.59    20344     
bqp50-1       16  4   3   -2098     1.42    17943     
bqp50-1       16  4   4   -2098     1.36    17644     
bqp50-1       16  4   5   -2098     1.31    16083     
bqp50-1       16  4   6   -2098     1.51    20685     
bqp50-1       16  4   7   -2098     1.53    21452     
bqp50-1       16  4   8   -2098     1.37    18591     
bqp50-1       16  4   9   -2098     1.50    19439     
bqp50-1       16  4   10  -2098     1.60    21815     
bqp50-1       16  4   11  -2098     1.32    18123     
bqp50-1       16  4   12  -2098     1.24    16244     
bqp50-1       16  4   13  -2098     1.64    20029     
bqp50-1       16  4   14  -2098     1.40    18656     
bqp50-1       16  4   15  -2098     1.46    18844     
bqp50-1       16  4   16  -2098     1.51    19827     
bqp50-1       16  4   17  -2098     1.91    23592     
bqp50-1       16  4   18  -2098     1.54    21071     
bqp50-1       16  4   19  -2098     1.43    18174     
bqp50-1       16  4   20  -2098     1.49    20501     
bqp50-1       16  4   21  -2098     1.47    18969     
bqp50-1       16  4   22  -2098     1.71    21410     
bqp50-1       16  4   23  -2098     1.70    20596     
bqp50-1       16  4   24  -2098     1.46    18533     
bqp50-1       16  4   25  -2098     1.65    22729     
bqp50-1       16  4   26  -2098     1.25    14629     
bqp50-1       16  4   27  -2098     1.51    21686     
bqp50-1       16  4   28  -2098     1.45    18728     
bqp50-1       16  4   29  -2098     1.19    16978     
bqp50-1       16  4   30  -2098     1.22    16596     
bqp50-1       18  2   1   -2098     0.93    12584     
bqp50-1       18  2   2   -2098     0.81    10269     
bqp50-1       18  2   3   -2098     0.84    10516     
bqp50-1       18  2   4   -2098     0.96    12006     
bqp50-1       18  2   5   -2098     0.89    10952     
bqp50-1       18  2   6   -2098     0.92    11738     
bqp50-1       18  2   7   -2098     1.18    13320     
bqp50-1       18  2   8   -2098     0.99    12770     
bqp50-1       18  2   9   -2098     0.79    9723      
bqp50-1       18  2   10  -2098     1.06    14606     
bqp50-1       18  2   11  -2098     1.25    15265     
bqp50-1       18  2   12  -2098     1.11    12212     
bqp50-1       18  2   13  -2098     0.90    10401     
bqp50-1       18  2   14  -2098     0.97    11763     
bqp50-1       18  2   15  -2098     1.01    12957     
bqp50-1       18  2   16  -2098     1.27    14155     
bqp50-1       18  2   17  -2098     0.89    11163     
bqp50-1       18  2   18  -2098     0.71    8434      
bqp50-1       18  2   19  -2098     0.92    11855     
bqp50-1       18  2   20  -2098     0.98    11562     
bqp50-1       18  2   21  -2098     0.66    8178      
bqp50-1       18  2   22  -2098     0.96    12718     
bqp50-1       18  2   23  -2098     0.95    12413     
bqp50-1       18  2   24  -2098     0.82    10493     
bqp50-1       18  2   25  -2098     0.93    11909     
bqp50-1       18  2   26  -2098     0.98    11368     
bqp50-1       18  2   27  -2098     1.22    13085     
bqp50-1       18  2   28  -2098     1.07    12360     
bqp50-1       18  2   29  -2098     1.05    11424     
bqp50-1       18  2   30  -2098     0.76    10316     
bqp100-1      2   18  1   -7840     2.70    22289     
bqp100-1      2   18  2   -7840     2.79    21698     
bqp100-1      2   18  3   -7774     3.28    24723     
bqp100-1      2   18  4   -7743     2.78    21907     
bqp100-1      2   18  5   -7727     2.72    22220     
bqp100-1      2   18  6   -7786     2.78    22386     
bqp100-1      2   18  7   -7779     2.81    22257     
bqp100-1      2   18  8   -7793     2.58    20995     
bqp100-1      2   18  9   -7727     3.07    24598     
bqp100-1      2   18  10  -7928     2.88    22801     
bqp100-1      2   18  11  -7779     2.50    20071     
bqp100-1      2   18  12  -7822     2.84    22528     
bqp100-1      2   18  13  -7884     2.81    21168     
bqp100-1      2   18  14  -7834     2.70    21541     
bqp100-1      2   18  15  -7918     2.74    22358     
bqp100-1      2   18  16  -7904     3.71    28152     
bqp100-1      2   18  17  -7928     2.98    21496     
bqp100-1      2   18  18  -7842     3.13    23469     
bqp100-1      2   18  19  -7729     2.75    21088     
bqp100-1      2   18  20  -7898     2.88    22565     
bqp100-1      2   18  21  -7820     2.89    22580     
bqp100-1      2   18  22  -7770     2.84    21984     
bqp100-1      2   18  23  -7890     4.10    31224     
bqp100-1      2   18  24  -7815     2.96    22420     
bqp100-1      2   18  25  -7778     2.79    22056     
bqp100-1      2   18  26  -7970     2.76    21461     
bqp100-1      2   18  27  -7768     2.78    21087     
bqp100-1      2   18  28  -7840     2.77    21970     
bqp100-1      2   18  29  -7890     3.68    28187     
bqp100-1      2   18  30  -7848     3.06    22258     
bqp100-1      4   16  1   -7904     5.64    41549     
bqp100-1      4   16  2   -7796     5.17    39830     
bqp100-1      4   16  3   -7800     5.65    43631     
bqp100-1      4   16  4   -7822     5.35    40403     
bqp100-1      4   16  5   -7904     5.32    41388     
bqp100-1      4   16  6   -7822     5.16    39252     
bqp100-1      4   16  7   -7822     5.78    41731     
bqp100-1      4   16  8   -7904     5.27    41110     
bqp100-1      4   16  9   -7789     4.98    37825     
bqp100-1      4   16  10  -7822     5.15    38853     
bqp100-1      4   16  11  -7840     5.43    42084     
bqp100-1      4   16  12  -7942     9.38    70330     
bqp100-1      4   16  13  -7840     5.31    40925     
bqp100-1      4   16  14  -7804     5.99    46793     
bqp100-1      4   16  15  -7904     6.71    50381     
bqp100-1      4   16  16  -7848     6.34    49536     
bqp100-1      4   16  17  -7904     5.84    42174     
bqp100-1      4   16  18  -7830     5.37    39931     
bqp100-1      4   16  19  -7804     5.70    42392     
bqp100-1      4   16  20  -7840     5.30    39926     
bqp100-1      4   16  21  -7896     5.33    40160     
bqp100-1      4   16  22  -7840     5.62    41770     
bqp100-1      4   16  23  -7884     5.23    38977     
bqp100-1      4   16  24  -7942     5.52    41909     
bqp100-1      4   16  25  -7789     5.98    43605     
bqp100-1      4   16  26  -7830     7.83    53193     
bqp100-1      4   16  27  -7775     5.74    43398     
bqp100-1      4   16  28  -7789     5.55    41380     
bqp100-1      4   16  29  -7884     6.69    51418     
bqp100-1      4   16  30  -7876     5.12    39569     
bqp100-1      6   14  1   -7928     7.84    57413     
bqp100-1      6   14  2   -7918     9.23    72932     
bqp100-1      6   14  3   -7898     7.24    56534     
bqp100-1      6   14  4   -7898     8.80    60315     
bqp100-1      6   14  5   -7890     8.89    68052     
bqp100-1      6   14  6   -7928     8.20    64711     
bqp100-1      6   14  7   -7876     7.26    56724     
bqp100-1      6   14  8   -7890     11.01   67917     
bqp100-1      6   14  9   -7970     12.92   98286     
bqp100-1      6   14  10  -7876     7.02    54773     
bqp100-1      6   14  11  -7890     8.15    63667     
bqp100-1      6   14  12  -7787     7.13    55214     
bqp100-1      6   14  13  -7832     7.85    59341     
bqp100-1      6   14  14  -7904     7.38    56620     
bqp100-1      6   14  15  -7898     7.59    58680     
bqp100-1      6   14  16  -7767     7.12    55196     
bqp100-1      6   14  17  -7898     8.32    64704     
bqp100-1      6   14  18  -7840     7.24    54848     
bqp100-1      6   14  19  -7942     9.56    73563     
bqp100-1      6   14  20  -7786     7.12    54691     
bqp100-1      6   14  21  -7778     7.12    54076     
bqp100-1      6   14  22  -7918     7.28    56342     
bqp100-1      6   14  23  -7896     8.79    70777     
bqp100-1      6   14  24  -7848     7.18    57384     
bqp100-1      6   14  25  -7876     6.77    56001     
bqp100-1      6   14  26  -7896     9.32    74115     
bqp100-1      6   14  27  -7884     9.03    73362     
bqp100-1      6   14  28  -7898     6.68    54486     
bqp100-1      6   14  29  -7928     9.38    77485     
bqp100-1      6   14  30  -7826     7.67    63679     
bqp100-1      8   12  1   -7904     10.72   88502     
bqp100-1      8   12  2   -7904     8.09    68317     
bqp100-1      8   12  3   -7787     8.40    67719     
bqp100-1      8   12  4   -7942     10.16   82073     
bqp100-1      8   12  5   -7896     11.81   95044     
bqp100-1      8   12  6   -7918     9.50    78659     
bqp100-1      8   12  7   -7904     8.30    69757     
bqp100-1      8   12  8   -7811     10.84   81959     
bqp100-1      8   12  9   -7840     8.27    69693     
bqp100-1      8   12  10  -7904     7.80    65640     
bqp100-1      8   12  11  -7826     8.30    67930     
bqp100-1      8   12  12  -7840     8.21    68096     
bqp100-1      8   12  13  -7896     8.87    72214     
bqp100-1      8   12  14  -7879     10.64   83109     
bqp100-1      8   12  15  -7918     8.09    66954     
bqp100-1      8   12  16  -7888     8.49    66291     
bqp100-1      8   12  17  -7970     10.44   83573     
bqp100-1      8   12  18  -7876     7.99    62155     
bqp100-1      8   12  19  -7928     8.98    69067     
bqp100-1      8   12  20  -7822     8.93    72560     
bqp100-1      8   12  21  -7898     9.38    78296     
bqp100-1      8   12  22  -7890     10.74   83503     
bqp100-1      8   12  23  -7896     8.13    67486     
bqp100-1      8   12  24  -7918     12.69   102988    
bqp100-1      8   12  25  -7890     9.59    81136     
bqp100-1      8   12  26  -7848     8.15    68505     
bqp100-1      8   12  27  -7822     10.82   87246     
bqp100-1      8   12  28  -7918     10.67   82459     
bqp100-1      8   12  29  -7764     8.32    69481     
bqp100-1      8   12  30  -7840     8.04    65201     
bqp100-1      10  10  1   -7890     15.01   117642    
bqp100-1      10  10  2   -7928     9.88    79062     
bqp100-1      10  10  3   -7970     10.12   78610     
bqp100-1      10  10  4   -7928     11.05   87412     
bqp100-1      10  10  5   -7928     11.27   82493     
bqp100-1      10  10  6   -7840     9.53    76047     
bqp100-1      10  10  7   -7898     10.03   80072     
bqp100-1      10  10  8   -7970     13.07   99823     
bqp100-1      10  10  9   -7830     9.14    69693     
bqp100-1      10  10  10  -7970     13.74   100872    
