instance      b1  b2  rep value     t       it        
bqp50-1       2   18  1   -2012     1.71    25392     
bqp50-1       2   18  2   -2098     1.48    20716     
bqp50-1       2   18  3   -2030     1.43    19748     
bqp50-1       2   18  4   -2098     1.92    26020     
bqp50-1       2   18  5   -2030     1.29    19956     
bqp50-1       2   18  6   -2012     1.56    21852     
bqp50-1       2   18  7   -2098     1.35    21366     
bqp50-1       2   18  8   -1953     0.99    15158     
bqp50-1       2   18  9   -1966     1.47    24936     
bqp50-1       2   18  10  -2098     1.94    27566     
bqp50-1       2   18  11  -2098     1.33    22520     
bqp50-1       2   18  12  -1942     1.15    19722     
bqp50-1       2   18  13  -2098     1.49    24544     
bqp50-1       2   18  14  -1840     1.24    17564     
bqp50-1       2   18  15  -1944     1.47    21496     
bqp50-1       4   16  1   -1867     2.21    38098     
bqp50-1       4   16  2   -2098     2.06    36446     
bqp50-1       4   16  3   -2098     1.81    31734     
bqp50-1       4   16  4   -1867     2.41    43402     
bqp50-1       4   16  5   -2098     1.85    33256     
bqp50-1       4   16  6   -2098     2.56    39380     
bqp50-1       4   16  7   -2098     2.02    33686     
bqp50-1       4   16  8   -2020     2.34    41430     
bqp50-1       4   16  9   -2098     1.99    35024     
bqp50-1       4   16  10  -1877     1.99    34026     
bqp50-1       4   16  11  -2098     2.56    40154     
bqp50-1       4   16  12  -2098     2.39    40376     
bqp50-1       4   16  13  -2098     2.15    34950     
bqp50-1       4   16  14  -2098     2.26    38492     
bqp50-1       4   16  15  -2012     1.61    27206     
bqp50-1       6   14  1   -2098     2.67    44290     
bqp50-1       6   14  2   -1924     3.01    51990     
bqp50-1       6   14  3   -2098     3.06    52458     
bqp50-1       6   14  4   -2098     2.70    46498     
bqp50-1       6   14  5   -2098     3.35    60040     
bqp50-1       6   14  6   -2098     3.14    55872     
bqp50-1       6   14  7   -2098     3.13    54508     
bqp50-1       6   14  8   -2098     2.56    43002     
bqp50-1       6   14  9   -2098     3.02    50770     
bqp50-1       6   14  10  -2098     2.65    46704     
bqp50-1       6   14  11  -1953     2.85    47286     
bqp50-1       6   14  12  -1953     2.83    47822     
