alg  instance      rep time    iterations  value      
MM   bqp50-1       1   0.01    33          -1916       
MM   bqp50-1       2   0.00    17          -1780      
MM   bqp50-1       3   0.00    14          -1885      
MM   bqp50-1       4   0.00    20          -1698      
MM   bqp50-1       5   0.00    16          -1486      
MM   bqp50-1       6   0.00    19          -2098      
MM   bqp50-1       7   0.00    18          -1916      
MM   bqp50-1       8   0.00    19          -1679      
MM   bqp50-1       9   0.02    27          -1862      
MM   bqp50-1       10  0.00    21          -2098      
MM   bqp50-1       11  0.00    17          -1694      
MM   bqp50-1       12  0.00    21          -2030      
MM   bqp50-1       13  0.01    17          -1536      
MM   bqp50-1       14  0.00    17          -1758      
MM   bqp50-1       15  0.01    25          -1994      
MM   bqp100-1      1   0.01    38          -7221      
MM   bqp100-1      2   0.01    35          -7500      
MM   bqp100-1      3   0.01    42          -7241      
MM   bqp100-1      4   0.01    44          -7496      
MM   bqp100-1      5   0.04    43          -7004      
MM   bqp100-1      6   0.01    45          -7619      
MM   bqp100-1      7   0.03    46          -7848      
MM   bqp100-1      8   0.01    38          -6669      
MM   bqp100-1      9   0.03    44          -7510      
MM   bqp100-1      10  0.03    39          -7663      
MM   bqp100-1      11  0.02    49          -7082      
MM   bqp100-1      12  0.04    62          -7290      
MM   bqp100-1      13  0.01    39          -7186      
MM   bqp100-1      14  0.01    51          -7142      
MM   bqp100-1      15  0.01    47          -7165      
MM   bqp250-1      1   0.11    135         -45064     
MM   bqp250-1      2   0.10    129         -45352     
MM   bqp250-1      3   0.10    123         -45162     
MM   bqp250-1      4   0.18    127         -44791     
MM   bqp250-1      5   0.08    107         -44022     
MM   bqp250-1      6   0.12    117         -44871     
MM   bqp250-1      7   0.09    118         -44525     
MM   bqp250-1      8   0.16    120         -44983     
MM   bqp250-1      9   0.19    119         -45024     
MM   bqp250-1      10  0.14    137         -45181     
MM   bqp250-1      11  0.16    122         -44489     
MM   bqp250-1      12  0.13    137         -44624     
MM   bqp250-1      13  0.20    143         -45397     
MM   bqp250-1      14  0.14    130         -44790     
MM   bqp250-1      15  0.10    126         -44464     
MM   bqp500-1      1   0.71    299         -114731    
MM   bqp500-1      2   0.79    227         -113317    
MM   bqp500-1      3   0.79    259         -114197    
MM   bqp500-1      4   0.37    244         -115044    
MM   bqp500-1      5   0.49    309         -114931    
MM   bqp500-1      6   0.53    255         -112809    
MM   bqp500-1      7   0.38    213         -111058    
MM   bqp500-1      8   0.49    256         -114298    
MM   bqp500-1      9   0.57    252         -113538    
MM   bqp500-1      10  0.41    263         -115277    
MM   bqp500-1      11  0.80    271         -113341    
MM   bqp500-1      12  0.45    250         -113754    
MM   bqp500-1      13  0.37    251         -113268    
MM   bqp500-1      14  0.71    290         -114573    
MM   bqp500-1      15  0.34    236         -112611    
PM   bqp50-1       1   1.00    3339        -934       
PM   bqp50-1       2   2.75    12833       -821       
PM   bqp50-1       3   0.38    1291        -1435      
PM   bqp50-1       4   0.14    1047        -819       
PM   bqp50-1       5   1.30    6986        -1170      
PM   bqp50-1       6   1.48    7693        -814       
PM   bqp50-1       7   0.76    3939        -854       
PM   bqp50-1       8   2.96    10944       -680       
PM   bqp50-1       9   0.20    1176        -972       
PM   bqp50-1       10  2.88    14918       -986       
PM   bqp50-1       11  1.11    5669        -1003      
PM   bqp50-1       12  2.03    11121       -911       
PM   bqp50-1       13  0.61    2530        -1136      
PM   bqp50-1       14  1.85    6847        -838       
PM   bqp50-1       15  1.54    5671        -897       
PM   bqp100-1      1   1.56    4754        -3377      
PM   bqp100-1      2   0.03    64          -2409      
PM   bqp100-1      3   0.37    1261        -3033      
PM   bqp100-1      4   0.16    207         -2734      
PM   bqp100-1      5   0.67    1994        -2533      
PM   bqp100-1      6   2.62    5506        -2793      
PM   bqp100-1      7   0.33    1214        -2332      
PM   bqp100-1      8   2.85    7993        -2600      
PM   bqp100-1      9   2.61    5961        -2307      
PM   bqp100-1      10  2.20    5834        -3013      
PM   bqp100-1      11  0.64    2071        -2148      
PM   bqp100-1      12  2.24    5515        -2225      
PM   bqp100-1      13  1.70    3671        -2047      
PM   bqp100-1      14  1.41    4460        -2034      
PM   bqp100-1      15  1.56    3530        -2309      
PM   bqp250-1      1   1.58    2006        -9523      
PM   bqp250-1      2   3.07    3995        -11683     
PM   bqp250-1      3   3.76    4400        -7008      
PM   bqp250-1      4   2.88    2450        -10361     
PM   bqp250-1      5   2.95    3295        -8373      
PM   bqp250-1      6   2.72    3494        -7758      
PM   bqp250-1      7   0.36    484         -7093      
PM   bqp250-1      8   3.22    3580        -8250      
PM   bqp250-1      9   1.99    2426        -6512      
PM   bqp250-1      10  0.22    364         -7854      
PM   bqp250-1      11  0.76    909         -10166     
PM   bqp250-1      12  3.46    4441        -8153      
PM   bqp250-1      13  3.21    3722        -7602      
PM   bqp250-1      14  3.24    3198        -9168      
PM   bqp250-1      15  2.67    3138        -6894      
PM   bqp500-1      1   2.89    1606        -15384     
PM   bqp500-1      2   2.95    2012        -9293      
PM   bqp500-1      3   0.03    17          -9206      
PM   bqp500-1      4   3.27    2459        -17913     
PM   bqp500-1      5   4.59    2619        -15566     
PM   bqp500-1      6   1.41    645         -7851      
PM   bqp500-1      7   4.70    2574        -14932     
PM   bqp500-1      8   1.31    692         -3854      
PM   bqp500-1      9   1.70    887         -13655     
PM   bqp500-1      10  0.17    66          -13383     
PM   bqp500-1      11  2.46    1410        -9937      
PM   bqp500-1      12  2.26    1227        -9482      
PM   bqp500-1      13  1.86    1221        -15469     
PM   bqp500-1      14  1.09    361         -13055     
PM   bqp500-1      15  0.03    23          -8432      
0.50 bqp50-1       1   0.00    21          -1930      
0.50 bqp50-1       2   0.00    25          -1916      
0.50 bqp50-1       3   0.00    16          -2098      
0.50 bqp50-1       4   0.00    17          -1790      
0.50 bqp50-1       5   0.00    22          -1786      
0.50 bqp50-1       6   0.00    13          -1946      
0.50 bqp50-1       7   0.00    23          -1903      
0.50 bqp50-1       8   0.00    25          -2026      
0.50 bqp50-1       9   0.00    18          -2012      
0.50 bqp50-1       10  0.00    20          -2034      
0.50 bqp50-1       11  0.01    30          -1948      
0.50 bqp50-1       12  0.02    17          -1904      
0.50 bqp50-1       13  0.00    22          -2034      
0.50 bqp50-1       14  0.00    27          -1952      
0.50 bqp50-1       15  0.00    24          -1799      
0.50 bqp100-1      1   0.02    49          -7374      
0.50 bqp100-1      2   0.02    38          -7848      
0.50 bqp100-1      3   0.01    37          -7644      
0.50 bqp100-1      4   0.01    34          -7579      
0.50 bqp100-1      5   0.01    41          -7762      
0.50 bqp100-1      6   0.02    41          -7459      
0.50 bqp100-1      7   0.03    45          -7702      
0.50 bqp100-1      8   0.04    48          -7635      
0.50 bqp100-1      9   0.01    43          -7241      
0.50 bqp100-1      10  0.03    41          -7822      
0.50 bqp100-1      11  0.01    38          -7117      
0.50 bqp100-1      12  0.03    43          -7719      
0.50 bqp100-1      13  0.01    40          -7848      
0.50 bqp100-1      14  0.02    43          -7884      
0.50 bqp100-1      15  0.02    52          -7683      
0.50 bqp250-1      1   0.18    125         -45607     
0.50 bqp250-1      2   0.13    117         -45089     
0.50 bqp250-1      3   0.22    124         -45221     
0.50 bqp250-1      4   0.14    129         -43961     
0.50 bqp250-1      5   0.14    117         -45097     
0.50 bqp250-1      6   0.17    127         -44658     
0.50 bqp250-1      7   0.20    134         -45223     
0.50 bqp250-1      8   0.14    95          -44300     
0.50 bqp250-1      9   0.17    121         -44687     
0.50 bqp250-1      10  0.20    123         -44522     
0.50 bqp250-1      11  0.12    114         -45339     
0.50 bqp250-1      12  0.16    129         -44778     
0.50 bqp250-1      13  0.10    123         -44486     
0.50 bqp250-1      14  0.15    130         -44942     
0.50 bqp250-1      15  0.13    127         -45289     
0.50 bqp500-1      1   0.59    239         -113207    
0.50 bqp500-1      2   0.42    236         -112356    
0.50 bqp500-1      3   0.67    214         -113625    
0.50 bqp500-1      4   0.73    262         -114221    
0.50 bqp500-1      5   0.69    244         -113802    
0.50 bqp500-1      6   0.79    275         -115198    
0.50 bqp500-1      7   0.35    257         -113949    
0.50 bqp500-1      8   0.48    263         -113356    
0.50 bqp500-1      9   0.39    247         -114630    
0.50 bqp500-1      10  0.58    231         -112757    
0.50 bqp500-1      11  0.54    264         -113002    
0.50 bqp500-1      12  0.41    285         -113410    
0.50 bqp500-1      13  0.42    258         -111819    
0.50 bqp500-1      14  0.45    291         -114281    
0.50 bqp500-1      15  0.32    241         -114721    
0.50 p3000-1       1   19.08   1814        3886081    
0.50 p3000-1       2   18.94   1659        3854341    
0.50 p3000-1       3   19.35   1632        3877247    
0.50 p3000-1       4   18.30   1715        3874894    
0.50 p3000-1       5   19.08   1716        3867402    
0.50 p3000-1       6   18.82   1680        3884333    
0.50 p3000-1       7   18.96   1707        3868108    
0.50 p3000-1       8   21.86   1728        3881517    
0.50 p3000-1       9   20.15   1726        3873565    
0.50 p3000-1       10  20.03   1604        3866004    
MM   p3000-1       1   17.21   1645        3874135    
MM   p3000-1       2   17.20   1719        3879465    
MM   p3000-1       3   14.72   1619        3874320    
MM   p3000-1       4   15.73   1524        3867778    
MM   p3000-1       5   19.71   1738        3887316    
MM   p3000-1       6   16.71   1614        3874922    
MM   p3000-1       7   21.04   1688        3879945    
MM   p3000-1       8   18.02   1697        3879681    
MM   p3000-1       9   18.56   1633        3879668    
MM   p3000-1       10  17.87   1723        3874317    
PM   p3000-1       1   15.26   1623        182099     
PM   p3000-1       2   143.03  15455       222594     
PM   p3000-1       3   39.13   4241        213323     
PM   p3000-1       4   299.76  31867       223224     
PM   p3000-1       5   111.98  11825       239867     
PM   p3000-1       6   86.28   9058        138498     
PM   p3000-1       7   161.87  17181       200197     
PM   p3000-1       8   5.09    465         193961     
PM   p3000-1       9   220.97  23484       265689     
PM   p3000-1       10  41.30   4518        212268     
0.50 p3000-2       1   5.58    1769        5161717    
0.50 p3000-2       2   5.66    1690        5147835    
0.50 p3000-2       3   13.45   1718        5136485    
0.50 p3000-2       4   15.44   1724        5154952    
0.50 p3000-2       5   13.47   1701        5142060    
0.50 p3000-2       6   14.55   1801        5166017    
0.50 p3000-2       7   15.10   1654        5111565    
0.50 p3000-2       8   14.89   1658        5140997    
0.50 p3000-2       9   14.79   1846        5165629    
0.50 p3000-2       10  14.19   1749        5156201    
MM   p3000-2       1   21.89   1664        5166052    
MM   p3000-2       2   20.40   1645        5128274    
MM   p3000-2       3   20.99   1793        5157173    
MM   p3000-2       4   19.47   1626        5124956    
MM   p3000-2       5   21.29   1651        5120706    
MM   p3000-2       6   19.87   1641        5155418    
MM   p3000-2       7   18.06   1680        5140091    
MM   p3000-2       8   18.81   1712        5159656    
MM   p3000-2       9   18.14   1734        5148302    
MM   p3000-2       10  19.84   1750        5155594    
PM   p3000-2       1   178.45  20793       331538     
PM   p3000-2       2   160.73  17243       280333     
PM   p3000-2       3   78.89   8474        253525     
PM   p3000-2       4   235.99  24400       458443     
PM   p3000-2       5   219.52  22926       321000     
PM   p3000-2       6   242.58  26027       336733     
PM   p3000-2       7   82.72   8570        212965     
PM   p3000-2       8   229.57  25937       300295     
PM   p3000-2       9   256.78  30404       410340     
PM   p3000-2       10  141.71  16813       348240     
0.50 p4000-1       1   10.71   2582        6135420    
0.50 p4000-1       2   23.04   2426        6106932    
0.50 p4000-1       3   25.93   2273        6107374    
0.50 p4000-1       4   25.01   2300        6121584    
0.50 p4000-1       5   26.86   2228        6112884    
0.50 p4000-1       6   23.41   2150        6084588    
0.50 p4000-1       7   22.63   2202        6096656    
0.50 p4000-1       8   24.66   2330        6123052    
0.50 p4000-1       9   28.03   2458        6125112    
0.50 p4000-1       10  37.43   2387        6132958    
MM   p4000-1       1   36.32   2344        6116130    
MM   p4000-1       2   41.48   2366        6115392    
MM   p4000-1       3   37.53   2282        6123280    
MM   p4000-1       4   36.10   2356        6112428    
MM   p4000-1       5   36.79   2228        6083503    
MM   p4000-1       6   31.30   2116        6116397    
MM   p4000-1       7   36.09   2208        6111868    
MM   p4000-1       8   31.93   2345        6108740    
MM   p4000-1       9   35.87   2310        6113403    
MM   p4000-1       10  35.86   2346        6104571    
PM   p4000-1       1   273.07  21590       413691     
PM   p4000-1       2   279.64  22574       238544     
PM   p4000-1       3   158.05  13082       276250     
PM   p4000-1       4   162.61  13354       264339     
PM   p4000-1       5   239.36  19650       205915     
PM   p4000-1       6   293.04  24252       143118     
PM   p4000-1       7   3.65    331         164822     
PM   p4000-1       8   4.37    387         376299     
PM   p4000-1       9   225.65  19964       281993     
PM   p4000-1       10  164.09  16562       305594     
0.50 p4000-2       1   9.62    2298        7713802    
0.50 p4000-2       2   25.00   2255        7705727    
0.50 p4000-2       3   27.33   2263        7698419    
0.50 p4000-2       4   23.27   2192        7683609    
0.50 p4000-2       5   23.10   2302        7724310    
0.50 p4000-2       6   26.93   2441        7743610    
0.50 p4000-2       7   26.82   2344        7716231    
0.50 p4000-2       8   22.88   2131        7678597    
0.50 p4000-2       9   25.61   2310        7713345    
0.50 p4000-2       10  36.15   2249        7701157    
MM   p4000-2       1   40.65   2290        7724722    
MM   p4000-2       2   37.55   2280        7764469    
MM   p4000-2       3   35.61   2212        7718943    
MM   p4000-2       4   34.02   2277        7680661    
MM   p4000-2       5   35.12   2214        7728413    
MM   p4000-2       6   35.46   2568        7721441    
MM   p4000-2       7   31.49   2147        7685314    
MM   p4000-2       8   35.42   2435        7712248    
MM   p4000-2       9   31.18   2254        7727955    
MM   p4000-2       10  33.44   2266        7699337    
PM   p4000-2       1   281.00  23419       231636     
PM   p4000-2       2   233.96  18500       344238     
PM   p4000-2       3   92.14   7570        221756     
PM   p4000-2       4   13.20   1105        405417     
PM   p4000-2       5   63.56   4890        256660     
PM   p4000-2       6   142.31  11077       326067     
PM   p4000-2       7   290.15  23971       244508     
PM   p4000-2       8   96.50   8563        247398     
PM   p4000-2       9   56.89   5018        318139     
PM   p4000-2       10  5.21    530         241365     
0.50 p5000-1       1   16.90   2908        8468025    
0.50 p5000-1       2   36.31   2927        8500783    
0.50 p5000-1       3   41.59   2974        8473589    
0.50 p5000-1       4   41.60   3057        8488893    
0.50 p5000-1       5   41.93   2969        8482362    
0.50 p5000-1       6   39.12   2803        8471537    
0.50 p5000-1       7   47.79   3123        8511964    
0.50 p5000-1       8   41.18   2872        8467010    
0.50 p5000-1       9   58.23   3026        8477274    
0.50 p5000-1       10  60.04   2923        8482416    
MM   p5000-1       1   61.52   2863        8499705    
MM   p5000-1       2   58.91   2883        8485622    
MM   p5000-1       3   61.35   2945        8477033    
MM   p5000-1       4   59.71   2911        8467393    
MM   p5000-1       5   53.82   3017        8465473    
MM   p5000-1       6   55.91   2799        8490844    
MM   p5000-1       7   54.06   2767        8469370    
MM   p5000-1       8   53.82   2845        8446880    
MM   p5000-1       9   55.36   2937        8481068    
MM   p5000-1       10  44.22   2915        8477382    
PM   p5000-1       1   237.57  15543       348433     
PM   p5000-1       2   222.16  14400       325224     
PM   p5000-1       3   146.39  9085        280749     
PM   p5000-1       4   266.64  17119       201636     
