tenure instance      d   rep v           it        time    
F      p3000-1.txt   25  1   3922894     3316      40.992282
F      p3000-1.txt   50  1   3889349     1730      25.089694
F      p3000-1.txt   100 1   3900264     1935      27.129281
F      p3000-1.txt   200 1   3882496     1733      24.978140
F      p3000-1.txt   25  2   3889351     2005      31.039579
F      p3000-1.txt   50  2   3875856     1808      24.931142
F      p3000-1.txt   100 2   3888563     1991      26.002676
F      p3000-1.txt   200 2   3892880     1917      27.700044
F      p3000-1.txt   25  3   3892931     1845      23.871603
F      p3000-1.txt   50  3   3907648     1851      25.571211
F      p3000-1.txt   100 3   3898308     2189      30.664794
F      p3000-1.txt   200 3   3898347     1793      26.190986
F      p3000-1.txt   25  4   3909193     2339      34.308552
F      p3000-1.txt   50  4   3900411     2292      29.983771
F      p3000-1.txt   100 4   3898574     1855      27.637274
F      p3000-1.txt   200 4   3878606     1945      24.015719
F      p3000-1.txt   25  5   3899120     1959      26.139579
F      p3000-1.txt   50  5   3906791     2478      29.547663
F      p3000-1.txt   100 5   3895277     2035      25.339721
F      p3000-1.txt   200 5   3888326     1929      23.869287
F      p3000-1.txt   25  6   3912872     1962      23.130476
F      p3000-1.txt   50  6   3891599     2321      27.816894
F      p3000-1.txt   100 6   3898882     2127      31.561139
F      p3000-1.txt   200 6   3883829     1846      21.234271
F      p3000-1.txt   25  7   3883754     2358      29.979298
F      p3000-1.txt   50  7   3905729     2632      33.635616
F      p3000-1.txt   100 7   3893746     2407      31.735655
F      p3000-1.txt   200 7   3904802     2111      30.621469
F      p3000-1.txt   25  8   3893843     2228      30.600843
F      p3000-1.txt   50  8   3903858     2260      29.425999
F      p3000-1.txt   100 8   3904116     2310      28.732842
F      p3000-1.txt   200 8   3894613     1944      28.334727
F      p3000-1.txt   25  9   3910803     2558      31.931829
F      p3000-1.txt   50  9   3906784     1941      27.258098
F      p3000-1.txt   100 9   3901203     2448      33.195981
F      p3000-1.txt   200 9   3908420     1897      23.698170
F      p3000-1.txt   25  10  3909182     3005      41.749835
F      p3000-1.txt   50  10  3899096     2176      27.314947
F      p3000-1.txt   100 10  3904125     2245      29.131644
F      p3000-1.txt   200 10  3895712     1780      23.124561
R      p3000-1.txt   25  1   3887741     2054      28.850780
R      p3000-1.txt   50  1   3907355     2226      31.130384
R      p3000-1.txt   100 1   3905698     2239      29.478732
R      p3000-1.txt   200 1   3902085     2040      26.578161
R      p3000-1.txt   25  2   3908820     2251      30.001371
R      p3000-1.txt   50  2   3901744     2279      29.859764
R      p3000-1.txt   100 2   3911491     2504      29.809816
R      p3000-1.txt   200 2   3907937     1974      24.577329
R      p3000-1.txt   25  3   3902468     2365      33.113394
R      p3000-1.txt   50  3   3890540     2087      30.365810
R      p3000-1.txt   100 3   3896655     1993      27.459111
R      p3000-1.txt   200 3   3897200     1940      26.918459
R      p3000-1.txt   25  4   3894994     2322      33.222921
R      p3000-1.txt   50  4   3900044     2412      33.152467
R      p3000-1.txt   100 4   3875084     2068      26.410494
R      p3000-1.txt   200 4   3893189     1982      23.525705
R      p3000-1.txt   25  5   3907190     2434      34.452598
R      p3000-1.txt   50  5   3905026     2358      33.144756
R      p3000-1.txt   100 5   3895967     2048      25.753729
R      p3000-1.txt   200 5   3884853     1745      25.730468
R      p3000-1.txt   25  6   3901493     2817      37.421628
R      p3000-1.txt   50  6   3887706     2021      30.429559
R      p3000-1.txt   100 6   3894060     2136      26.679765
R      p3000-1.txt   200 6   3897256     1887      29.388740
R      p3000-1.txt   25  7   3882676     1801      22.396329
R      p3000-1.txt   50  7   3901697     2294      27.766640
R      p3000-1.txt   100 7   3904438     2141      25.834574
R      p3000-1.txt   200 7   3888945     1685      24.108616
