tenure instance      d   rep v           time    
F      bqp50-1       25  1   -2098       0.071517
F      bqp50-1       50  1   -1942       0.062711
F      bqp50-1       100 1   -2098       0.064591
F      bqp50-1       200 1   -1877       0.065065
F      bqp50-1       25  2   -1877       0.065425
F      bqp50-1       50  2   -1946       0.063778
F      bqp50-1       100 2   -2034       0.063068
F      bqp50-1       200 2   -1854       0.063155
F      bqp50-1       25  3   -1781       0.062787
F      bqp50-1       50  3   -1797       0.061050
F      bqp50-1       100 3   -1862       0.062539
F      bqp50-1       200 3   -1877       0.064338
F      bqp50-1       25  4   -1828       0.060581
F      bqp50-1       50  4   -1819       0.062570
F      bqp50-1       100 4   -1934       0.063774
F      bqp50-1       200 4   -2030       0.064105
F      bqp50-1       25  5   -1934       0.064345
F      bqp50-1       50  5   -1952       0.063591
F      bqp50-1       100 5   -1797       0.061965
F      bqp50-1       200 5   -1794       0.062301
F      bqp50-1       25  6   -1542       0.061652
F      bqp50-1       50  6   -2098       0.064883
F      bqp50-1       100 6   -2020       0.064633
F      bqp50-1       200 6   -2098       0.064859
F      bqp50-1       25  7   -2030       0.064526
F      bqp50-1       50  7   -2098       0.067148
F      bqp50-1       100 7   -1707       0.062858
F      bqp50-1       200 7   -1561       0.065558
F      bqp50-1       25  8   -2034       0.065586
F      bqp50-1       50  8   -1928       0.067082
F      bqp50-1       100 8   -1877       0.068648
F      bqp50-1       200 8   -2020       0.074979
F      bqp50-1       25  9   -1827       0.075550
F      bqp50-1       50  9   -1671       0.062360
F      bqp50-1       100 9   -1942       0.066348
F      bqp50-1       200 9   -1497       0.061870
F      bqp50-1       25  10  -1399       0.063714
F      bqp50-1       50  10  -2030       0.067223
F      bqp50-1       100 10  -1779       0.065132
F      bqp50-1       200 10  -2026       0.068539
R      bqp50-1       25  1   -1867       0.071276
R      bqp50-1       50  1   -2098       0.071031
R      bqp50-1       100 1   -2012       0.070480
R      bqp50-1       200 1   -2098       0.070381
R      bqp50-1       25  2   -2098       0.069613
R      bqp50-1       50  2   -2098       0.069021
R      bqp50-1       100 2   -2098       0.068374
R      bqp50-1       200 2   -1946       0.069715
R      bqp50-1       25  3   -2012       0.069075
R      bqp50-1       50  3   -1819       0.067667
R      bqp50-1       100 3   -2098       0.068854
R      bqp50-1       200 3   -2098       0.069557
R      bqp50-1       25  4   -1797       0.065561
R      bqp50-1       50  4   -1727       0.068524
R      bqp50-1       100 4   -1867       0.069400
R      bqp50-1       200 4   -1834       0.070282
R      bqp50-1       25  5   -2034       0.066142
R      bqp50-1       50  5   -1962       0.066830
R      bqp50-1       100 5   -1944       0.065403
R      bqp50-1       200 5   -1797       0.065520
R      bqp50-1       25  6   -1817       0.069416
R      bqp50-1       50  6   -2098       0.068409
R      bqp50-1       100 6   -1944       0.065616
R      bqp50-1       200 6   -2098       0.068571
R      bqp50-1       25  7   -2098       0.069428
R      bqp50-1       50  7   -2098       0.069682
R      bqp50-1       100 7   -1944       0.065672
R      bqp50-1       200 7   -1962       0.067508
R      bqp50-1       25  8   -1934       0.069845
R      bqp50-1       50  8   -2012       0.070408
R      bqp50-1       100 8   -1737       0.069573
R      bqp50-1       200 8   -2098       0.068987
R      bqp50-1       25  9   -1729       0.069118
R      bqp50-1       50  9   -2034       0.066114
R      bqp50-1       100 9   -2098       0.069997
R      bqp50-1       200 9   -1934       0.068952
R      bqp50-1       25  10  -1903       0.066336
R      bqp50-1       50  10  -1834       0.069540
R      bqp50-1       100 10  -2098       0.069090
R      bqp50-1       200 10  -1422       0.065794
F      bqp100-1      25  1   -7201       0.242380
F      bqp100-1      50  1   -7709       0.241148
F      bqp100-1      100 1   -7256       0.244674
F      bqp100-1      200 1   -7619       0.245867
F      bqp100-1      25  2   -7141       0.246596
F      bqp100-1      50  2   -7655       0.245964
F      bqp100-1      100 2   -6772       0.235708
F      bqp100-1      200 2   -7928       0.240594
F      bqp100-1      25  3   -7884       0.238775
F      bqp100-1      50  3   -7762       0.241227
F      bqp100-1      100 3   -7679       0.243416
F      bqp100-1      200 3   -7443       0.246821
F      bqp100-1      25  4   -7662       0.241002
F      bqp100-1      50  4   -6731       0.232536
F      bqp100-1      100 4   -7338       0.237901
F      bqp100-1      200 4   -7734       0.239435
F      bqp100-1      25  5   -7227       0.237968
F      bqp100-1      50  5   -7356       0.239075
F      bqp100-1      100 5   -7571       0.237888
F      bqp100-1      200 5   -7518       0.237817
F      bqp100-1      25  6   -7505       0.244294
F      bqp100-1      50  6   -7232       0.239869
F      bqp100-1      100 6   -7074       0.239690
F      bqp100-1      200 6   -7575       0.240106
F      bqp100-1      25  7   -7341       0.245980
F      bqp100-1      50  7   -7796       0.246651
F      bqp100-1      100 7   -7610       0.244448
F      bqp100-1      200 7   -7305       0.245080
F      bqp100-1      25  8   -7191       0.246311
F      bqp100-1      50  8   -7573       0.251051
F      bqp100-1      100 8   -7677       0.242840
F      bqp100-1      200 8   -7151       0.240427
F      bqp100-1      25  9   -7434       0.243799
F      bqp100-1      50  9   -7427       0.242450
F      bqp100-1      100 9   -7601       0.238584
F      bqp100-1      200 9   -7573       0.244111
F      bqp100-1      25  10  -7772       0.237609
F      bqp100-1      50  10  -7918       0.241847
F      bqp100-1      100 10  -7457       0.235741
F      bqp100-1      200 10  -7314       0.236108
R      bqp100-1      25  1   -7734       0.290631
R      bqp100-1      50  1   -7822       0.256850
R      bqp100-1      100 1   -7123       0.254049
R      bqp100-1      200 1   -7501       0.258864
R      bqp100-1      25  2   -7928       0.270191
R      bqp100-1      50  2   -7660       0.254857
R      bqp100-1      100 2   -7615       0.260801
R      bqp100-1      200 2   -7731       0.258290
R      bqp100-1      25  3   -7540       0.261189
R      bqp100-1      50  3   -7324       0.257622
R      bqp100-1      100 3   -7970       0.260693
R      bqp100-1      200 3   -7707       0.252420
R      bqp100-1      25  4   -7486       0.250895
R      bqp100-1      50  4   -7493       0.256516
R      bqp100-1      100 4   -7615       0.263439
R      bqp100-1      200 4   -7226       0.260172
R      bqp100-1      25  5   -7087       0.259454
R      bqp100-1      50  5   -7394       0.249495
R      bqp100-1      100 5   -7518       0.249814
R      bqp100-1      200 5   -7734       0.255606
R      bqp100-1      25  6   -7822       0.258394
R      bqp100-1      50  6   -7468       0.260513
R      bqp100-1      100 6   -7848       0.248684
R      bqp100-1      200 6   -7350       0.256870
R      bqp100-1      25  7   -7822       0.261144
R      bqp100-1      50  7   -7692       0.256638
R      bqp100-1      100 7   -7762       0.262461
R      bqp100-1      200 7   -7970       0.268765
R      bqp100-1      25  8   -7605       0.259674
R      bqp100-1      50  8   -7848       0.248651
R      bqp100-1      100 8   -7576       0.255584
R      bqp100-1      200 8   -7928       0.253045
R      bqp100-1      25  9   -7822       0.259473
R      bqp100-1      50  9   -7918       0.268204
R      bqp100-1      100 9   -7728       0.269656
R      bqp100-1      200 9   -7545       0.252099
R      bqp100-1      25  10  -7777       0.262836
R      bqp100-1      50  10  -7812       0.254024
R      bqp100-1      100 10  -7787       0.250434
R      bqp100-1      200 10  -7567       0.253658
F      bqp250-1      25  1   -45207      1.442843
F      bqp250-1      50  1   -44294      1.437134
F      bqp250-1      100 1   -44866      1.425509
F      bqp250-1      200 1   -45296      1.423974
F      bqp250-1      25  2   -45404      1.447445
F      bqp250-1      50  2   -43575      1.407800
F      bqp250-1      100 2   -43842      1.420935
F      bqp250-1      200 2   -44723      1.435924
F      bqp250-1      25  3   -44243      1.436451
F      bqp250-1      50  3   -44953      1.424122
F      bqp250-1      100 3   -45013      1.415226
F      bqp250-1      200 3   -45194      1.409130
F      bqp250-1      25  4   -45499      1.432831
F      bqp250-1      50  4   -45499      1.435348
F      bqp250-1      100 4   -44823      1.426967
F      bqp250-1      200 4   -44381      1.434336
F      bqp250-1      25  5   -44381      1.469324
F      bqp250-1      50  5   -45255      1.430330
F      bqp250-1      100 5   -45508      1.405049
F      bqp250-1      200 5   -44872      1.428761
F      bqp250-1      25  6   -45508      1.437883
F      bqp250-1      50  6   -45209      1.485375
F      bqp250-1      100 6   -45531      1.448369
F      bqp250-1      200 6   -44836      1.465378
F      bqp250-1      25  7   -45055      1.445714
F      bqp250-1      50  7   -44918      1.442042
F      bqp250-1      100 7   -45207      1.411505
F      bqp250-1      200 7   -45607      1.407861
F      bqp250-1      25  8   -45495      1.461883
F      bqp250-1      50  8   -44786      1.652647
F      bqp250-1      100 8   -45049      1.566270
F      bqp250-1      200 8   -44768      1.410845
F      bqp250-1      25  9   -45253      1.437260
F      bqp250-1      50  9   -44314      1.467240
F      bqp250-1      100 9   -45508      1.412821
F      bqp250-1      200 9   -45301      1.401641
F      bqp250-1      25  10  -44925      1.447460
F      bqp250-1      50  10  -45179      1.434393
F      bqp250-1      100 10  -44753      1.417451
F      bqp250-1      200 10  -45406      1.403842
R      bqp250-1      25  1   -45579      1.465748
R      bqp250-1      50  1   -45407      1.586484
R      bqp250-1      100 1   -45495      1.426317
R      bqp250-1      200 1   -45579      1.517000
R      bqp250-1      25  2   -45607      1.506044
R      bqp250-1      50  2   -44829      1.508377
R      bqp250-1      100 2   -45499      1.447502
R      bqp250-1      200 2   -45583      1.488003
R      bqp250-1      25  3   -45355      1.469577
R      bqp250-1      50  3   -45607      1.445853
R      bqp250-1      100 3   -44399      1.538581
R      bqp250-1      200 3   -44723      1.506498
R      bqp250-1      25  4   -45583      1.518979
R      bqp250-1      50  4   -45607      1.455075
R      bqp250-1      100 4   -45583      1.481316
R      bqp250-1      200 4   -44647      1.452204
R      bqp250-1      25  5   -45407      1.514466
R      bqp250-1      50  5   -45100      1.449386
R      bqp250-1      100 5   -44671      1.505823
R      bqp250-1      200 5   -44980      1.487423
R      bqp250-1      25  6   -45583      1.514464
R      bqp250-1      50  6   -44899      1.459802
R      bqp250-1      100 6   -45231      1.463344
R      bqp250-1      200 6   -45579      1.451045
R      bqp250-1      25  7   -45267      1.571131
R      bqp250-1      50  7   -45495      1.504734
R      bqp250-1      100 7   -44123      1.506720
R      bqp250-1      200 7   -45407      1.467697
R      bqp250-1      25  8   -45470      1.528248
R      bqp250-1      50  8   -45579      1.446885
R      bqp250-1      100 8   -45470      1.501733
R      bqp250-1      200 8   -45579      1.475318
R      bqp250-1      25  9   -45607      1.471832
R      bqp250-1      50  9   -45499      1.444250
R      bqp250-1      100 9   -45579      1.443272
R      bqp250-1      200 9   -45193      1.475933
R      bqp250-1      25  10  -45579      1.467130
R      bqp250-1      50  10  -45579      1.454195
R      bqp250-1      100 10  -44563      1.437183
R      bqp250-1      200 10  -45579      1.445923
F      bqp500-1      25  1   -113634     5.750086
F      bqp500-1      50  1   -113302     5.777814
F      bqp500-1      100 1   -112393     5.509058
F      bqp500-1      200 1   -114540     5.581411
F      bqp500-1      25  2   -112937     5.819060
F      bqp500-1      50  2   -115495     5.670133
F      bqp500-1      100 2   -113304     5.539257
F      bqp500-1      200 2   -112712     5.598671
F      bqp500-1      25  3   -114463     5.826336
F      bqp500-1      50  3   -115250     5.645099
F      bqp500-1      100 3   -111317     5.563658
F      bqp500-1      200 3   -114780     5.641190
F      bqp500-1      25  4   -115106     5.779652
F      bqp500-1      50  4   -115055     5.765374
F      bqp500-1      100 4   -114387     5.630022
F      bqp500-1      200 4   -112454     5.633332
F      bqp500-1      25  5   -115224     5.963808
F      bqp500-1      50  5   -112704     5.778876
F      bqp500-1      100 5   -112208     5.588401
F      bqp500-1      200 5   -111808     5.532782
F      bqp500-1      25  6   -114637     5.932883
F      bqp500-1      50  6   -114540     5.689544
F      bqp500-1      100 6   -115464     5.584876
F      bqp500-1      200 6   -115523     5.632907
F      bqp500-1      25  7   -115587     5.820454
F      bqp500-1      50  7   -115481     5.893946
F      bqp500-1      100 7   -114668     5.646115
F      bqp500-1      200 7   -111998     5.524488
F      bqp500-1      25  8   -113607     5.966620
F      bqp500-1      50  8   -114648     5.723572
F      bqp500-1      100 8   -112617     5.570973
F      bqp500-1      200 8   -113412     5.529771
F      bqp500-1      25  9   -115219     6.032918
F      bqp500-1      50  9   -113882     5.651631
F      bqp500-1      100 9   -112711     5.521981
F      bqp500-1      200 9   -114617     5.678154
F      bqp500-1      25  10  -113832     5.988643
F      bqp500-1      50  10  -114754     5.669950
F      bqp500-1      100 10  -111503     5.598796
F      bqp500-1      200 10  -112831     5.670031
R      bqp500-1      25  1   -116020     6.051903
R      bqp500-1      50  1   -113906     6.009244
R      bqp500-1      100 1   -115840     5.808836
R      bqp500-1      200 1   -114638     5.775932
R      bqp500-1      25  2   -113021     6.283207
R      bqp500-1      50  2   -115124     5.843120
R      bqp500-1      100 2   -115442     5.813627
R      bqp500-1      200 2   -115631     5.969946
R      bqp500-1      25  3   -113880     5.741262
R      bqp500-1      50  3   -115314     5.807931
R      bqp500-1      100 3   -112120     6.058783
R      bqp500-1      200 3   -115815     5.636540
R      bqp500-1      25  4   -114591     6.072881
R      bqp500-1      50  4   -114935     5.798671
R      bqp500-1      100 4   -114591     5.826130
R      bqp500-1      200 4   -115435     5.910108
R      bqp500-1      25  5   -115207     6.076560
R      bqp500-1      50  5   -114759     5.883416
R      bqp500-1      100 5   -114450     5.871588
R      bqp500-1      200 5   -114598     5.775701
R      bqp500-1      25  6   -115685     6.253783
R      bqp500-1      50  6   -112685     5.913945
R      bqp500-1      100 6   -114060     5.677882
R      bqp500-1      200 6   -113512     6.013019
R      bqp500-1      25  7   -114982     5.863167
R      bqp500-1      50  7   -113338     6.320156
R      bqp500-1      100 7   -115271     6.114084
R      bqp500-1      200 7   -114519     5.974786
R      bqp500-1      25  8   -113317     6.214675
R      bqp500-1      50  8   -115788     5.739145
R      bqp500-1      100 8   -113020     5.935173
R      bqp500-1      200 8   -115427     5.776370
R      bqp500-1      25  9   -114666     5.917754
R      bqp500-1      50  9   -114968     5.762374
R      bqp500-1      100 9   -113804     5.670055
R      bqp500-1      200 9   -115170     5.785943
R      bqp500-1      25  10  -114536     6.635658
R      bqp500-1      50  10  -113514     5.942842
R      bqp500-1      100 10  -114944     5.617160
R      bqp500-1      200 10  -113957     5.911382
